suite,task,failure,controller,seed,episode,route,route_reason,success,final_distance,steps,max_triage_risk,first_action_anomaly_step,first_grasp_uncertain_step,first_perception_uncertain_step,first_review_step,first_abort_step,first_monitor_trigger_step,first_success_step,monitor_triggers,recovery_phase_replans,recovery_override_rate
standard_corruptions,GauzeRetrieve,execution_slip,monitor_corrected,43004,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0097838820777877,36,2.5,0.0,,,,,0.0,35.0,1.0,0.0,0.8888888888888888
standard_corruptions,GauzeRetrieve,execution_slip,perturbed,43000,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2405228762205027,200,3.25,0.0,,,56.0,,,,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,execution_slip,perturbed,43001,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2801621018244291,200,3.25,0.0,,,48.0,,,,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,execution_slip,perturbed,43002,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2775434009523864,200,3.25,0.0,,,52.0,,,,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,execution_slip,perturbed,43003,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2726079074574464,200,3.25,0.0,,,32.0,,,,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,execution_slip,perturbed,43004,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2547221911072103,200,3.25,0.0,,,44.0,,,,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,none,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0123994672532815,35,2.25,,,,,,,34.0,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,none,clean,43001,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0136650557877879,33,2.25,,,,,,,32.0,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,none,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0128146525690532,35,2.25,,,,,,,34.0,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,none,clean,43003,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0135693759879085,35,2.25,,,,,,,34.0,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,none,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0103753049586258,35,2.25,,,,,,,34.0,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,none,monitor_corrected,43000,0,auto_execute,nominal_no_alarm,1.0,0.0124623686922585,35,2.25,,,,,,5.0,34.0,1.0,0.0,0.8285714285714286
standard_corruptions,GauzeRetrieve,none,monitor_corrected,43001,0,auto_execute,nominal_no_alarm,1.0,0.0140234758530562,33,2.25,,,,,,5.0,32.0,1.0,0.0,0.8181818181818182
standard_corruptions,GauzeRetrieve,none,monitor_corrected,43002,0,auto_execute,nominal_no_alarm,1.0,0.0125896631032279,35,2.25,,,,,,5.0,34.0,1.0,0.0,0.8285714285714286
standard_corruptions,GauzeRetrieve,none,monitor_corrected,43003,0,auto_execute,nominal_no_alarm,1.0,0.0135457931464293,35,2.25,,,,,,5.0,34.0,1.0,0.0,0.8285714285714286
standard_corruptions,GauzeRetrieve,none,monitor_corrected,43004,0,auto_execute,nominal_no_alarm,1.0,0.0117393359899586,35,2.25,,,,,,5.0,34.0,1.0,0.0,0.8285714285714286
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0210823226468185,44,2.25,,,,,,,43.0,0.0,0.0,0.0
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,clean,43001,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0220062874458691,36,2.25,,,,,,,35.0,0.0,0.0,0.0
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0211041973088774,42,2.25,,,,,,,41.0,0.0,0.0,0.0
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,clean,43003,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0178893382398011,41,2.25,,,,,,,40.0,0.0,0.0,0.0
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0159348329772258,37,2.25,,,,,,,36.0,0.0,0.0,0.0
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,clean,43005,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0164449452188574,46,2.25,,,,,,,45.0,0.0,0.0,0.0
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,clean,43006,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0209424162532183,45,2.25,,,,,,,44.0,0.0,0.0,0.0
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,clean,43007,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0176410778805924,36,2.25,,,,,,,35.0,0.0,0.0,0.0
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,clean,43008,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0244497379929081,41,2.25,,,,,,,40.0,0.0,0.0,0.0
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,clean,43009,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0245532861530195,40,2.25,,,,,,,39.0,0.0,0.0,0.0
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,monitor_corrected,43000,0,human_review,grasp_outcome_uncertain,1.0,0.0210614484457027,103,3.75,,38.0,,38.0,38.0,4.0,102.0,3.0,1.0,0.9320388349514565
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,monitor_corrected,43001,0,human_review,grasp_outcome_uncertain,1.0,0.0220281296648164,100,3.75,,31.0,,31.0,31.0,4.0,99.0,3.0,2.0,0.95
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,monitor_corrected,43002,0,human_review,grasp_outcome_uncertain,1.0,0.0211311301854985,105,3.75,,35.0,,35.0,35.0,4.0,104.0,3.0,2.0,0.9142857142857144
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,monitor_corrected,43003,0,human_review,grasp_outcome_uncertain,1.0,0.0179107417448964,102,3.75,,35.0,,35.0,35.0,4.0,101.0,3.0,2.0,0.9411764705882352
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,monitor_corrected,43004,0,human_review,grasp_outcome_uncertain,1.0,0.0159242089852736,102,3.75,,30.0,,30.0,30.0,4.0,101.0,3.0,2.0,0.9411764705882352
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,monitor_corrected,43005,0,human_review,grasp_outcome_uncertain,1.0,0.0164706213842961,102,3.75,,40.0,,40.0,40.0,4.0,101.0,3.0,1.0,0.9411764705882352
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,monitor_corrected,43006,0,human_review,grasp_outcome_uncertain,1.0,0.0209800655754687,108,3.75,,37.0,,37.0,37.0,4.0,107.0,3.0,1.0,0.8888888888888888
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,monitor_corrected,43007,0,human_review,grasp_outcome_uncertain,1.0,0.0176630306845178,102,3.75,,30.0,,30.0,30.0,4.0,101.0,3.0,2.0,0.9411764705882352
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,monitor_corrected,43008,0,human_review,grasp_outcome_uncertain,1.0,0.0244680936522906,101,3.75,,36.0,,36.0,36.0,4.0,100.0,3.0,2.0,0.9504950495049505
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,monitor_corrected,43009,0,human_review,grasp_outcome_uncertain,1.0,0.0245702369162825,101,3.75,,35.0,,35.0,35.0,4.0,100.0,3.0,2.0,0.9504950495049505
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,perturbed,43000,0,human_review,grasp_outcome_uncertain,0.0,0.2247738040025275,220,3.75,,38.0,,38.0,38.0,,,0.0,0.0,0.0
