experiment_suite,task,failure,recovery_policy,controller,source_csv,experiment_notes,episodes,seeds,success_mean,success_std,final_distance_mean,final_distance_std,triggers_mean,phase_replans_mean,override_rate_mean,steps_mean,steps_std
standard_corruptions_10seed,GauzeRetrieve,action_dropout,internal_phase_replan,clean,runs/surrol_gauzeretrieve_phase_replan_w32_10seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery, 10 seed",10,10,1.0,0.0,0.01343583591548558,0.002500374396038485,0.0,0.0,0.0,34.6,0.6992058987801001
standard_corruptions_10seed,GauzeRetrieve,action_dropout,internal_phase_replan,monitor_corrected,runs/surrol_gauzeretrieve_phase_replan_w32_10seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery, 10 seed",10,10,1.0,0.0,0.01315948041877818,0.0021389561287833646,1.0,0.0,0.8438842203548086,35.5,0.8498365855987967
standard_corruptions_10seed,GauzeRetrieve,action_dropout,internal_phase_replan,perturbed,runs/surrol_gauzeretrieve_phase_replan_w32_10seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery, 10 seed",10,10,0.0,0.0,0.2702368036502779,0.034907410632623176,0.0,0.0,0.0,200.0,0.0
standard_corruptions_10seed,GauzeRetrieve,action_noise,internal_phase_replan,clean,runs/surrol_gauzeretrieve_phase_replan_w32_10seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery, 10 seed",10,10,1.0,0.0,0.01343583591548558,0.002500374396038485,0.0,0.0,0.0,34.6,0.6992058987801001
standard_corruptions_10seed,GauzeRetrieve,action_noise,internal_phase_replan,monitor_corrected,runs/surrol_gauzeretrieve_phase_replan_w32_10seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery, 10 seed",10,10,1.0,0.0,0.01594458012255065,0.004877412087822949,1.8,0.0,0.9453364671011728,34.7,1.159501808728405
standard_corruptions_10seed,GauzeRetrieve,action_noise,internal_phase_replan,perturbed,runs/surrol_gauzeretrieve_phase_replan_w32_10seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery, 10 seed",10,10,0.0,0.0,0.2789947450428406,0.030074308769464913,0.0,0.0,0.0,200.0,0.0
standard_corruptions_10seed,GauzeRetrieve,execution_slip,internal_phase_replan,clean,runs/surrol_gauzeretrieve_phase_replan_w32_10seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery, 10 seed",10,10,1.0,0.0,0.01343583591548558,0.002500374396038485,0.0,0.0,0.0,34.6,0.6992058987801001
standard_corruptions_10seed,GauzeRetrieve,execution_slip,internal_phase_replan,monitor_corrected,runs/surrol_gauzeretrieve_phase_replan_w32_10seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery, 10 seed",10,10,1.0,0.0,0.012661407376043241,0.003231658126583472,1.4,0.2,0.9004928989139515,43.9,16.921058543194697
standard_corruptions_10seed,GauzeRetrieve,execution_slip,internal_phase_replan,perturbed,runs/surrol_gauzeretrieve_phase_replan_w32_10seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery, 10 seed",10,10,0.0,0.0,0.27505725253926094,0.034613022472842675,0.0,0.0,0.0,200.0,0.0
standard_corruptions_10seed,GauzeRetrieve,none,internal_phase_replan,clean,runs/surrol_gauzeretrieve_phase_replan_w32_10seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery, 10 seed",10,10,1.0,0.0,0.01343583591548558,0.002500374396038485,0.0,0.0,0.0,34.6,0.6992058987801001
